entity_type,entity_name,cited_doc_count,non_cited_doc_count,cited_coverage_rate,non_cited_coverage_rate,coverage_lift,cited_total_mentions,non_cited_total_mentions,avg_salience_cited,avg_salience_non_cited
DATE,"July 7, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"February 25, 2026",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
LOCATION,United States,1,1,0.0588,0.0233,2.5236,5,1,0.000362,0.031691
LOCATION,"10,000 shipments",1,1,0.0588,0.0233,2.5236,1,1,0.004032,0.004032
LOCATION,Consolidates,1,1,0.0588,0.0233,2.5236,1,1,0.000515,0.000515
LOCATION,marketplaces/platforms,1,1,0.0588,0.0233,2.5236,1,1,0.001861,0.001861
LOCATION,Feature-packed,1,1,0.0588,0.0233,2.5236,1,1,0.002117,0.002117
LOCATION,Category,1,1,0.0588,0.0233,2.5236,1,1,0.000796,0.000796
LOCATION,Czech Republic,1,1,0.0588,0.0233,2.5236,10,1,0.000211,5.7e-05
LOCATION,No,1,1,0.0588,0.0233,2.5236,1,1,0.004426,0.000298
LOCATION,California,1,1,0.0588,0.0233,2.5236,1,1,0.000215,0.000144
LOCATION,Future-proof choice,1,1,0.0588,0.0233,2.5236,1,1,0.00057,0.00057
LOCATION,Delivered Duty Paid,1,1,0.0588,0.0233,2.5236,2,2,0.008699,0.008699
LOCATION,Challenges of Generic Tracking Tools,1,1,0.0588,0.0233,2.5236,1,1,0.000235,0.000235
LOCATION,Singapore,1,2,0.0588,0.0465,1.2645,5,3,0.000204,0.000356
LOCATION,Offers,1,2,0.0588,0.0465,1.2645,1,2,0.000928,0.00067
LOCATION,Netherlands,2,0,0.1176,0.0,1.176,11,0,0.000265,0.0
LOCATION,UK,1,3,0.0588,0.0698,0.8424,1,3,0.000316,0.00054
LOCATION,Australia,2,7,0.1176,0.1628,0.7224,8,14,0.000547,0.000783
LOCATION,Israel,1,0,0.0588,0.0,0.588,5,0,0.000199,0.0
LOCATION,El Salvador,1,0,0.0588,0.0,0.588,5,0,0.000209,0.0
LOCATION,Uruguay,1,0,0.0588,0.0,0.588,5,0,0.000165,0.0
LOCATION,Estonia,1,0,0.0588,0.0,0.588,10,0,0.000208,0.0
LOCATION,see original research,1,0,0.0588,0.0,0.588,1,0,0.000794,0.0
LOCATION,‫الب,1,0,0.0588,0.0,0.588,5,0,0.000875,0.0
LOCATION,Northern Mariana Islands,1,0,0.0588,0.0,0.588,5,0,0.000303,0.0
LOCATION,improved customer experience,1,0,0.0588,0.0,0.588,1,0,0.000246,0.0
LOCATION,Colombia,1,0,0.0588,0.0,0.588,5,0,0.00027,0.0
LOCATION,South Africa,1,0,0.0588,0.0,0.588,5,0,0.000392,0.0
LOCATION,Reviewed,1,0,0.0588,0.0,0.588,1,0,0.013164,0.0
LOCATION,Next Article ShipTime Integration,1,0,0.0588,0.0,0.588,1,0,0.000164,0.0
LOCATION,Russia,1,0,0.0588,0.0,0.588,10,0,0.000183,0.0
LOCATION,Excellent,1,0,0.0588,0.0,0.588,2,0,0.001664,0.0
LOCATION,Thailand,1,0,0.0588,0.0,0.588,5,0,0.000168,0.0
LOCATION,Mexico,1,0,0.0588,0.0,0.588,10,0,0.000191,0.0
